position,name,col_centre,row_centre,blu,grn,red,X,Y,Z,x,y,z,L,A,B
T06B1,cloth,3053.0,191.0,263.08488934473354,260.456453693978,249.6834858234821,243.58693435506808,258.35506876409147,285.8823301676018,0.30918940182875065,0.3279348680260329,0.36287573014521635,133.0,206.0,192.0
T06D1,cloth,3643.0,192.0,266.5494480247298,262.7476251352157,252.27712648305936,246.10110249962193,260.7952566642287,289.49794898146513,0.3090191629731193,0.32747001579102464,0.36351082123585604,135.0,207.0,192.0
T07A1,cloth,4047.0,193.0,264.47416191453425,260.56807862241794,250.43069301252308,244.1857160182018,258.6940790447597,287.2303128142438,0.3090527681948752,0.32741522537889683,0.36353200642622785,133.0,207.0,192.0
T04D1,cloth,1089.0,193.0,258.2692756555117,259.4224617574106,247.97378511818522,241.64310925792566,256.90443323072594,281.1497339853487,0.3099191398368101,0.3294925363758054,0.36058832378738453,132.0,206.0,193.0
T07C1,cloth,4624.0,220.75,255.7203097036272,252.52817250382813,243.06075659027172,236.69153709069406,250.74512746119865,277.81070906354364,0.30930068530968896,0.3276654531678365,0.3630338615224745,251.0,126.0,126.0
T07B1,cloth,4338.0,220.75,257.18451618916424,254.07608925285336,244.3671798492734,238.04807551695342,252.23564345589392,279.41190803979316,0.3092755982528715,0.327708297414754,0.3630161043323746,245.0,102.0,221.0
T05D1,cloth,2355.0,220.75,263.9923292049407,262.5475008278953,251.35435543338514,245.1875398780765,260.2713288795865,287.0262145031969,0.30939073183459387,0.3284242623326625,0.36218500583274366,134.0,207.0,193.0
T05C1,cloth,2063.0,220.75,262.84692770507144,262.3427275082099,251.0531629723946,244.78341569173944,259.97815996212216,285.90750419528354,0.30959022166194056,0.3288077991006356,0.36160197923742377,134.0,207.0,193.0
T06C1,cloth,3347.0,220.75,262.2580428575808,259.43967491118894,248.8939821208491,242.7485285953553,257.4003334934566,284.96011847847547,0.3091908698075969,0.3278529985830372,0.3629561316093659,132.0,206.0,192.0
T05B1,cloth,1776.0,220.75,261.7211392445835,262.14146058098487,250.75712791655803,244.38621144009988,259.6900110603678,284.80794988579333,0.3097871905591245,0.32918648915827897,0.36102632028259646,134.0,206.0,193.0
T04C1,cloth,795.0,220.75,257.6588645946895,258.2875257150141,246.84696882433428,240.6623796163259,255.8090815158514,280.412596801255,0.30977901677697595,0.32927575087114286,0.3609452323518811,131.0,206.0,193.0
T04B1,cloth,500.0,220.75,256.3917875539435,256.5851517604776,245.17264775726642,239.13443872361455,254.14409103476163,278.9732077819505,0.30965866063995356,0.32909487759034056,0.3612464617697058,131.0,206.0,193.0
T07C2,cloth,4633.0,472.0,260.5288864077644,256.6592054060963,247.03750965633938,240.6765805372308,254.89225136029376,282.9495914404409,0.309146930017801,0.32740683292685746,0.36344623705534146,132.0,206.0,193.0
T07A2,cloth,4042.0,474.0,264.47416191453425,260.56807862241794,250.43069301252308,244.1857160182018,258.6940790447597,287.2303128142438,0.3090527681948752,0.32741522537889683,0.36353200642622785,133.0,207.0,192.0
T04B2,cloth,500.0,475.0,262.36891464560165,261.7312372971675,250.1369739142816,244.10062188483997,259.31150221591236,285.3626481761506,0.30946808957924854,0.32875227673341445,0.361779633687337,134.0,207.0,192.0
T04C2,cloth,797.0,475.0,263.64458203916615,263.44515277003984,251.8226463106177,245.63892169885776,260.98778076806025,286.81179576507736,0.3095878536852075,0.32893259067919517,0.3614795556355973,134.0,207.0,193.0
T04A2,cloth,215.0,475.0,261.14478936894886,260.0865709343102,248.51940949355506,242.62447559866126,257.7029520901138,283.97205200495824,0.30935182526629423,0.32857723199146593,0.3620709427422399,132.0,206.0,193.0
T06C2,cloth,3357.0,477.0,268.04949173194075,264.33342795851775,253.61552513651208,247.49084291533507,262.32225381963326,291.1383381424478,0.30899606660073337,0.32751330779472426,0.36349062560454226,135.0,207.0,192.0
T06B2,cloth,3060.0,477.0,269.5700138515368,265.94087996712085,254.9721954439369,248.8995558964505,263.8700973525859,292.8011216947068,0.3089729216080763,0.32755669093260387,0.36347038745931975,136.0,207.0,192.0
T06D2,cloth,3650.0,477.0,266.5494480247298,262.7476251352157,252.27712648305936,246.10110249962193,260.7952566642287,289.49794898146513,0.3090191629731193,0.32747001579102464,0.36351082123585604,135.0,207.0,192.0
T06A2,cloth,2768.0,477.0,271.06493795565154,267.5212704940976,256.3060261838966,250.28455317081313,265.39188291360335,294.4359122578706,0.3089504235837958,0.32759886138838423,0.36345071502781995,7.0,126.0,126.0
T05D2,cloth,2365.0,477.0,269.8846846531063,267.5094783272298,256.1383849049049,249.99822990007166,265.262612180451,293.3096660137461,0.3091854419589159,0.32806367475070564,0.3627508832903784,7.0,124.0,126.0
T05C2,cloth,2080.0,477.0,268.7667414083709,267.30961395698887,255.84441281112987,249.6037936223111,264.9764712849806,292.2177741036252,0.3093758060298578,0.32842974136355724,0.3621944526065849,137.0,207.0,192.0
T07B2,cloth,4330.0,477.0,263.06811791925725,259.06726363403686,249.17094530781065,242.87576638124318,257.2513724810373,285.69090246450844,0.30907379776006094,0.3273676079600942,0.3635585942798449,133.0,206.0,192.0
T05A2,cloth,1496.0,477.0,265.86221974517406,266.7191775283282,255.0932902526617,248.558777732825,264.1848421102577,289.3726978313123,0.30987871990122395,0.3293597652722219,0.36076151482655416,137.0,207.0,193.0
T07D2,cloth,4918.0,477.0,258.2043619029023,254.46062556100898,245.09314353992113,238.66902329168,252.73864561042507,280.4409409639661,0.30921740382883256,0.3274458778312492,0.36333671833991815,245.0,103.0,221.0
T05B2,cloth,1785.0,477.0,267.60957208487287,267.1027368018273,255.54012590704696,249.19551747515544,264.68029035809025,291.0875701966579,0.30957373251568976,0.32881035036137707,0.3616159171229331,137.0,207.0,193.0
T04D2,cloth,1089.0,477.0,264.94579126625274,265.1706949626021,253.51899113034767,247.19038956387652,262.6764874114409,288.2868080146617,0.3097027479951809,0.3291051489848585,0.3611921030199605,135.0,207.0,193.0
T07A3,cloth,4054.0,764.0,270.1298959271767,265.4149488093241,255.09886463863654,248.864764726237,263.56132512182575,293.2729421496872,0.3088805556948119,0.32712131286582186,0.3639981314393663,137.0,207.0,192.0
T07C3,cloth,4630.0,764.0,265.2687528866184,260.8280582292135,251.031704118383,244.6699433976877,259.0651724107403,288.0280232507511,0.30901911358038125,0.3272003451923478,0.3637805412272709,134.0,207.0,192.0
T04A3,cloth,215.0,765.0,267.96235812639566,265.9562456860903,254.1817677454111,248.28895196741388,263.59695107746364,291.2599092884116,0.3091455476136867,0.3282055973269226,0.36264885505939076,136.0,207.0,192.0
T04B3,cloth,507.0,765.0,269.2165496379136,267.641307363123,255.83906181857657,249.8013544781654,265.245009451966,292.68466045328233,0.3092630429403807,0.3283828421155945,0.3623541149440247,137.0,207.0,192.0
T04C3,cloth,797.0,765.0,270.3692282974252,269.26604364336174,257.4404764964593,251.25082152935394,266.83071526309664,294.0046728673537,0.30938934627963555,0.3285743706630312,0.3620362830573331,8.0,124.0,126.0
T05B3,cloth,1785.0,767.0,273.50223991530476,272.494742334103,260.765324780275,254.3419947527543,270.072956475017,297.43110399175356,0.30947644408272607,0.3286174518448924,0.36190610407238144,10.0,124.0,126.0
T07B3,cloth,4338.0,767.0,267.78151948192766,263.195942159993,253.13434715838864,246.8372880002154,261.3871039351812,290.73880076036517,0.30894700814360154,0.3271578795178805,0.3638951123385179,135.0,207.0,192.0
T06D3,cloth,3650.0,767.0,273.1616120151439,268.34717262036145,257.67222667299893,251.52169279312727,266.4244099064283,296.5532451228397,0.3088052721780356,0.3271020543094691,0.3640926735124953,8.0,126.0,126.0
T06C3,cloth,3357.0,767.0,274.66165572235485,269.9329754436635,259.01062532645165,252.91143320884044,267.9514070618328,298.1936342838225,0.308783876406575,0.3271464366453827,0.3640696869480424,8.0,126.0,125.0
T07D3,cloth,4918.0,767.0,262.8866185035878,258.57719817307617,249.0389424678555,242.61333596799562,256.85972794137984,285.4574588135199,0.30908893073284854,0.3272388071371499,0.3636722621300015,133.0,207.0,192.0
T06B3,cloth,3060.0,767.0,276.18217784195093,271.5404274522666,260.3672956338765,254.3201461899559,269.49925059478556,299.85641783608145,0.3087624301643864,0.32719092367529196,0.36404664616032173,10.0,124.0,125.0
T04D3,cloth,1089.0,767.0,270.8207687344702,270.5455136860633,258.72966364927277,252.321537756875,268.0524961804441,294.6112012048168,0.30960258772402094,0.32890472688587413,0.3614926853901049,8.0,126.0,126.0
T05D3,cloth,2365.0,767.0,276.50871398823546,273.11704815037115,261.54083271661773,255.42686031667253,270.8999216366027,300.3773360975464,0.30897010761106447,0.3276866725610639,0.3633432198278716,11.0,124.0,126.0
T05A3,cloth,1489.0,767.0,271.6565359296214,272.0853787216323,260.2940874082844,253.66821702581166,269.5467660833023,295.61922020284834,0.3097919163608366,0.32918356975448604,0.3610245138846775,10.0,124.0,127.0
T06A3,cloth,2766.0,767.0,277.6873411522582,273.1316425718939,261.7102622008222,255.71462974701961,271.03145934457706,301.5024055948833,0.30874143616019034,0.3272344726049537,0.364024091234856,11.0,124.0,125.0
T05C3,cloth,2079.0,767.0,275.3354729281118,272.9013399762191,261.23337811596843,255.01121992748782,270.59559152624706,299.23074532262547,0.309165383938294,0.32805925154983473,0.3627753645118713,10.0,126.0,125.0
T07A4,cloth,4048.0,1052.0,274.8304980097023,269.55091137565546,259.05981741559066,252.82557130166998,267.70082111939945,298.30949789628033,0.30876220044981706,0.3269285387767367,0.3643092607734461,8.0,126.0,125.0
T04A4,cloth,215.0,1052.0,274.70940031048957,271.7651996645761,259.78554987742035,253.8948303047656,269.4299776614961,298.47237494479475,0.30895071872282726,0.3278545890204842,0.36319469225668854,9.0,126.0,125.0
T04C4,cloth,797.0,1053.0,276.18510491726835,274.59403826295534,262.6063080830205,256.3360676030415,272.15943561635,300.26645427029473,0.309299992943066,0.328392770875631,0.362307236181303,11.0,126.0,125.0
T06A4,cloth,2771.0,1055.0,284.2283059962225,278.6655110065503,267.0453152357799,261.0741209524377,276.5957328683435,308.48105153239464,0.30854321528317424,0.3268870022101967,0.3645697825066292,17.0,126.0,122.0
T07C4,cloth,4630.0,1055.0,269.9671551997201,264.9588259192534,254.99110924951714,248.62785715219758,263.20046537042253,293.0618394377172,0.30889662826373226,0.3270017175130938,0.3641016542231739,136.0,207.0,192.0
T07B4,cloth,4340.0,1055.0,272.41460568889,267.2681979127118,257.0388115947836,250.73983316830743,265.46415336732315,295.7025104111398,0.3088284600643444,0.3269639476536019,0.3642075922820537,7.0,126.0,125.0
T06D4,cloth,3650.0,1055.0,278.23784995622543,272.7629105868026,261.9109309680041,255.76487955146553,270.85016963581097,301.98548617549034,0.30867090791763724,0.32687665295464835,0.36445243912771436,11.0,124.0,124.0
T05A4,cloth,1470.0,1055.0,277.3357644520561,277.39790904391583,265.43983592348457,258.7149936039871,274.8502934088551,301.74891285394665,0.3097217713349606,0.32903821514429743,0.3612400135207421,15.0,124.0,126.0
T04B4,cloth,502.0,1055.0,275.8101163758437,273.3758030419636,261.37599208439514,255.32534210123788,270.9994923486188,299.7411104229796,0.30908590734913105,0.32806036131938127,0.36285373133148763,10.0,126.0,125.0
T06C4,cloth,3357.0,1055.0,280.7106188987316,275.09617263536575,263.9798164409803,257.89870359532824,273.13727509474853,304.6534744348449,0.3086059093254785,0.32684063927502877,0.3645534513994929,14.0,124.0,123.0
T07D4,cloth,4915.0,1055.0,267.56190213277716,262.68927068430287,252.97871211709997,246.55229451567575,260.97580647691666,290.4666972741811,0.3089647890577504,0.3270394832695027,0.36399572767274696,135.0,207.0,192.0
T06B4,cloth,3063.0,1055.0,282.7333818921078,277.0851204795735,265.7114844958202,259.689123678075,275.0739473073261,306.84626096923085,0.30856255250277326,0.32684279613258177,0.3645946513646451,16.0,124.0,123.0
T05D4,cloth,2360.0,1055.0,282.8853473819823,278.6287658516824,266.85673207575377,260.7408793370241,276.43241992448367,307.19680667869517,0.30879927830544185,0.32738300181373337,0.3638177198808249,16.0,126.0,123.0
T04D4,cloth,1089.0,1055.0,276.6366453543133,275.87350830565697,263.8954952358339,257.4067838305625,273.3812165336974,300.8729826077579,0.30950927012434254,0.3287171361060419,0.3617735937696155,12.0,124.0,126.0
T05C4,cloth,2067.0,1055.0,281.0583498556133,278.2235511947435,266.390270758209,260.0739304383951,275.91156254349585,305.4032865768397,0.3091007828447532,0.32792398620789626,0.36297523094735057,16.0,124.0,124.0
T05B4,cloth,1776.0,1057.0,279.2840851268759,277.85817755705256,265.96293789960043,259.4468814935318,275.431325107577,303.6653839052565,0.309401782365138,0.3284639322581361,0.36213428537672593,15.0,124.0,125.0
T07B5,cloth,4318.0,1337.0,277.1533652480453,271.44640363843257,261.0311038336573,254.73555608925722,269.6432787233958,300.7809683248966,0.30871057354061904,0.3267770408811925,0.36451238557818855,10.0,126.0,124.0
T07C5,cloth,4620.0,1347.0,274.76609806969196,269.18342220428167,259.0347310095499,252.67219874407778,267.4280271656218,298.20401158186866,0.30877537615914064,0.32680757952005274,0.36441704432080657,8.0,126.0,125.0
T07D5,cloth,4913.0,1347.0,272.29332912718576,266.8501601557184,256.9658455365736,250.538374700215,265.14092170668414,295.536023322514,0.3088432486504125,0.32684407611424776,0.3643126752353398,6.0,126.0,124.0
T06C5,cloth,3355.0,1347.0,285.4420458931402,279.2570621067814,267.966949860454,261.8847837798675,277.30239032451607,309.72280048317776,0.30849535477198625,0.32665700560208644,0.3648476396259274,17.0,126.0,122.0
T07A5,cloth,4042.0,1352.0,279.72484864122185,273.8572148776586,263.1840446309421,256.9495908154333,272.0108446617024,303.5536336918206,0.30864294109999735,0.32673423157068426,0.36462282732931844,11.0,126.0,123.0
T06D5,cloth,3655.0,1354.0,283.02322054642923,276.96742214211565,265.943880511887,259.7951885519407,275.0601185219178,307.1121602518678,0.3085572764196072,0.3266873474287185,0.36475537615167425,15.0,126.0,122.0
T05A5,cloth,1475.0,1354.0,283.3860846851596,282.9475437793675,270.8214871987664,264.01081151723326,280.40034014543687,308.2640773487569,0.3096264586263654,0.32884776126371923,0.3615257801099154,21.0,122.0,126.0
T04D5,cloth,1096.0,1354.0,282.68451254387844,281.43478796139436,269.28867807232245,262.7110793341675,278.9418665627864,307.3874268966261,0.30942118626205567,0.3285378122185047,0.36204100151943963,20.0,122.0,126.0
T04C5,cloth,802.0,1354.0,282.27054402655295,280.1838078122873,268.026780412147,261.66858552084307,277.7489757443654,306.8205266882363,0.30921390710936497,0.32821611281533997,0.3625699800752952,19.0,124.0,125.0
T06B5,cloth,3061.0,1357.0,288.08471144425334,281.74023828677264,270.1789584079978,264.1619012815898,279.739407891407,312.5728778786323,0.30842949533710334,0.32661744174030083,0.36495306292259583,20.0,126.0,121.0
T05D5,cloth,2365.0,1357.0,288.99606035221865,284.23401316047415,272.2922999849942,266.08971835260525,282.0380635679421,313.77703363186396,0.30872285843079234,0.3272264622250411,0.36405067934416663,25.0,123.0,124.0
T05C5,cloth,2071.0,1357.0,287.16282733941165,283.82741551835795,271.82424664930073,265.42049317787166,281.51542851671195,311.977392300992,0.3090189531969915,0.3277576723163498,0.36322337448665865,23.0,124.0,123.0
T05B5,cloth,1777.0,1357.0,285.32959432660454,283.42081787624187,271.3561933136073,264.75126800313814,280.9927934654819,310.17775097012,0.30931711770353665,0.3282925956342456,0.3623902866622178,23.0,122.0,125.0
T04B5,cloth,508.0,1357.0,281.9171575573508,278.9883276071343,266.81869349766487,260.67906302078615,276.6115924296241,306.3188533694605,0.3090044153075649,0.3278905578204985,0.36310502687193674,16.0,124.0,124.0
T15B1,cloth,3072.0,1722.0,282.3489478220338,277.0047000970113,265.90870792840707,259.6723470157994,275.0306320441605,306.4751593281448,0.3087007794964723,0.32695884437888967,0.3643403761246379,16.0,124.0,123.0
T13B1,cloth,525.0,1722.0,277.39845636318273,275.34617680987475,263.19563089493397,257.06701843827045,272.91023578493883,301.5205499300858,0.30916139183318586,0.3282152212811197,0.36262338688569457,12.0,124.0,125.0
T14C1,cloth,2087.0,1723.0,286.77246108169203,283.74079823083684,271.93514045899315,265.364823055908,281.4488933964316,311.59824556787237,0.30913458199183363,0.3278715882920148,0.3629938297161516,23.0,124.0,125.0
T13A1,cloth,222.0,1723.0,273.05603892140965,270.61731754678704,258.52895411230685,252.6677557326508,268.2224920158673,296.74006557572375,0.309024447375708,0.3280486151808076,0.36292693744348453,8.0,126.0,125.0
T15D1,cloth,3663.0,1724.0,281.09065288672207,275.47684060253056,264.6981139264716,258.39966014012475,273.5897019913213,305.07388235986866,0.3086978933081153,0.32684472026672534,0.36445738642515924,14.0,126.0,123.0
T16C1,cloth,4630.0,1724.0,279.08456296397617,273.02044737101716,262.75662595802964,256.3585596397915,271.27531555100154,302.8371679250309,0.3086905458834135,0.3266523472428495,0.36465710687373704,11.0,126.0,123.0
