position,name,col_centre,row_centre,blu,grn,red,X,Y,Z,x,y,z,L,A,B
T16A1,cloth,4055.0,1725.0,280.2613113368067,274.46777957624045,263.8990696773605,257.55962880334005,272.6382769943838,304.1500350412303,0.30869570858454864,0.3267680827740047,0.36453620864144654,12.0,126.0,123.0
T15A1,cloth,2781.0,1727.0,282.87205229179614,277.67743132971464,266.4329173105277,260.2235008036961,275.66097745984484,307.0625868433496,0.3087068115845427,0.3270205080136194,0.36427268040183797,16.0,124.0,123.0
T13D1,cloth,1102.0,1727.0,285.5582821681676,284.26041492709055,271.9922458848045,265.35509565829085,281.74500983334354,310.50744459206857,0.30941319911699944,0.3285244046718631,0.36206239621113745,24.0,123.0,125.0
T16B1,cloth,4342.0,1727.0,279.6336796243645,273.71214711627886,263.2988297006643,256.92861157823563,271.9249306828654,303.4519237277532,0.3086950910180329,0.3267128978418927,0.36459201114007445,11.0,126.0,123.0
T13C1,cloth,810.0,1727.0,281.3887799692935,279.71591585714066,267.5075615254939,261.12802008541763,277.240296676088,305.9167751854396,0.3092889150550427,0.3283728438657659,0.3623382410791915,17.0,124.0,125.0
T14D1,cloth,2379.0,1727.0,285.00424357118425,280.9997053224329,269.4401136906347,263.03653123815025,278.8303490953568,309.5429462739698,0.30894232485693085,0.32749251932689427,0.36356515581617493,19.0,124.0,123.0
T15C1,cloth,3369.0,1729.0,281.6199810067102,276.15719249675874,265.22834653910456,258.95714619431004,274.22722750971616,305.6682490098249,0.3087039834918002,0.32690751639130344,0.3643885001168963,15.0,126.0,123.0
T14B1,cloth,1792.0,1742.0,288.1883146596874,286.2052271909015,274.1805355718727,267.42764461699045,283.7910591112593,313.28088948922203,0.3093438640285362,0.32827205627136646,0.36238407970009734,26.0,123.0,125.0
T13B2,cloth,515.0,2005.0,272.77154304431355,271.4653264465638,259.34922566808007,253.25797597589138,268.98286348678664,296.5866429023005,0.3092934487792459,0.32849760087423646,0.36220895034651757,9.0,126.0,126.0
T14C2,cloth,2085.0,2008.0,282.2009638550054,279.98875731893384,268.54708753423193,261.8008892563925,277.7151182305956,306.7412154733999,0.3093632552293702,0.3281686828729083,0.3624680618977216,17.0,126.0,124.0
T15B2,cloth,3070.0,2008.0,277.74337168040074,273.2075286441195,262.478207898664,256.0686189191194,271.25309467804976,301.5795440335506,0.3089253593981147,0.32724415867504275,0.3638304819268425,11.0,126.0,125.0
T13C2,cloth,810.0,2011.0,276.88881286703327,275.97753571325677,263.801692545,257.45079250066993,273.4538628630458,301.12320409190477,0.3094256875834842,0.32865950311082287,0.3619148093056929,12.0,124.0,126.0
T13D2,cloth,1095.0,2011.0,280.9583612460712,280.41309131235164,268.17886734775175,261.57653407008377,277.850586321326,305.60382320453914,0.30954669299679094,0.32880522118984096,0.3616480858133681,19.0,122.0,126.0
T14D2,cloth,2381.0,2012.0,280.4094053534086,277.21084010547634,266.01853693171756,259.44139123721874,275.06142469968734,304.6586978309422,0.3091674093492716,0.3277812675949083,0.3630513230558202,15.0,126.0,124.0
T16D2,cloth,4915.0,2012.0,272.1376827467046,266.56788421220335,256.2727876819158,250.1234989777071,264.7804230433432,295.34106738347697,0.30870107467314317,0.3267905713776003,0.3645083539492564,6.0,126.0,124.0
T16C2,cloth,4622.0,2012.0,273.66028220890576,268.32625807025073,258.17051749720406,251.809716292457,266.55141729576644,297.0342745104287,0.30881914932490195,0.3268983546489598,0.3642824960261384,8.0,126.0,126.0
T16B2,cloth,4333.0,2015.0,275.0103894924065,269.9061680328618,259.8583662844236,253.31442835272622,268.13769707085584,298.53823232531005,0.3089236671613392,0.32700103670361497,0.3640752961350458,8.0,126.0,124.0
T16A2,cloth,4045.0,2015.0,275.60785991407226,270.63775153924837,260.4365964135976,253.9223259164242,268.8269869310544,299.2043892614355,0.30892533881765744,0.3270585511584363,0.36401611002390616,9.0,126.0,125.0
T15C2,cloth,3370.0,2015.0,277.0081812148515,272.352400382342,261.7918232788493,255.3470858313415,270.442510040895,300.7656945804795,0.30892922564379727,0.3271922800140446,0.36387849434215813,11.0,124.0,125.0
T13A2,cloth,218.0,2015.0,268.3721957139882,266.7113775080597,254.6572604239867,248.8290391274425,264.267689696001,291.74857842825736,0.30916380686509454,0.32834594090930824,0.3624902522255972,136.0,207.0,192.0
T14A2,cloth,1493.0,2017.0,282.40897009794867,282.0240400794285,270.0336327145176,263.1793249282465,279.50181589944225,307.2102147975445,0.30966231529044713,0.3288677006178316,0.36146998409172126,20.0,124.0,126.0
T15A2,cloth,2781.0,2018.0,278.1817374478836,273.808706500598,262.93835781621095,256.5524751540672,271.81252881136925,302.07667690324945,0.3089349692632236,0.32731079746266944,0.36375423327410694,11.0,126.0,124.0
T15D2,cloth,3655.0,2020.0,276.3363448412823,271.5619646022721,261.1595724026219,254.68244449184218,269.69427573618214,300.0208082234335,0.30893159635041095,0.32714105322801473,0.36392735042157437,10.0,126.0,125.0
T14B2,cloth,1789.0,2027.0,283.5053062457149,282.33770947645564,270.6734638036962,263.7532081892381,279.94134005350963,308.30182484681046,0.3095708110033392,0.3285710466564198,0.36185814234024105,21.0,122.0,126.0
T13B3,cloth,515.0,2299.0,268.113126396199,267.595313199022,255.51286834320257,249.45126854661027,265.06310453948237,291.6242840942046,0.3094396557276364,0.3288058477019538,0.36175449657040976,137.0,207.0,192.0
T13A3,cloth,222.0,2301.0,263.8976551710347,263.0089241553612,250.9867278069354,245.18382071862192,260.5162992555208,286.98413567409284,0.30930830147259236,0.328650780432718,0.36204091809468963,134.0,206.0,192.0
T16D3,cloth,4915.0,2301.0,265.6913980895283,260.74336248498764,250.24245413458505,244.3903880605635,258.8672543975673,288.40431038451425,0.308705486202821,0.3269921630918912,0.3643023507052877,134.0,207.0,192.0
T13D3,cloth,1095.0,2301.0,272.863902014749,272.92089246986814,260.9722571278872,254.46454633252378,270.3756555466376,296.8792833639676,0.30967325334537155,0.32903644175681107,0.3612903048978174,10.0,124.0,126.0
T13C3,cloth,808.0,2304.0,271.7037553962248,271.54986975069977,259.4450439739043,253.13505858058778,268.9866352002067,295.583849349442,0.3095674973800083,0.32895293111320517,0.3614795715067865,9.0,126.0,126.0
T16A3,cloth,4042.0,2306.0,270.11648954874636,265.8817061312365,255.79245118881383,249.31532118721944,264.0416671051215,293.32924548501455,0.30906108316710185,0.32731644107614305,0.36362247575675516,137.0,207.0,192.0
T16C3,cloth,4627.0,2306.0,267.07648720953927,262.37095969110777,252.00346845180496,245.94864156561982,260.50572294925945,289.94861009502563,0.30882436330187074,0.3271029004843442,0.364072736213785,135.0,207.0,192.0
T15B3,cloth,3064.0,2307.0,272.9365607735331,269.24768844171956,258.89962450126677,252.30933613472382,267.3132069594355,296.4704426738781,0.30916738721540626,0.32755238878552917,0.3632802239990647,8.0,126.0,126.0
T16B3,cloth,4333.0,2308.0,268.55967229045,264.0950267162823,253.86594274856841,247.60093838019273,262.2418399683433,291.59959084714467,0.3089441585533873,0.3272123486951738,0.3638434927514389,135.0,207.0,192.0
T14D3,cloth,2380.0,2308.0,275.6551786861618,273.30406685868286,262.4906891422411,255.73149832277923,271.1740732874868,299.60687356351946,0.30941034199310596,0.3280943618828011,0.36249529612409287,11.0,124.0,126.0
T15A3,cloth,2777.0,2311.0,273.46748496342036,269.9235533794313,259.4278117048843,252.86466210932048,267.9472038142843,297.065751720549,0.30917175950808096,0.3276128335509288,0.3632154069409903,8.0,126.0,125.0
T15C3,cloth,3367.0,2311.0,272.24350041903557,268.42482327954207,258.24324303747915,251.6193164059113,266.5351169479051,295.7010552194587,0.30916952694760486,0.32749685993413036,0.36333361311826473,8.0,126.0,126.0
T15D3,cloth,3653.0,2311.0,271.65017909752027,267.69832021417204,257.66902839531326,251.0156403530723,265.85061382284675,295.0395243731675,0.3091684367632522,0.3274402287146351,0.36339133452211275,7.0,126.0,125.0
T14A3,cloth,1497.0,2311.0,274.13074951093864,274.3502103679755,262.6586279585681,255.8997774891706,271.84791547904223,298.2861411175859,0.3097933364586501,0.32910021873366246,0.3611064448076874,11.0,126.0,126.0
T14C3,cloth,2085.0,2311.0,276.86920439446055,275.49233736496586,264.4287685363005,257.53240056969,273.2388190249115,301.0588621430029,0.30959736396131804,0.3284791269560061,0.3619235090826759,12.0,126.0,126.0
T14B3,cloth,1792.0,2314.0,275.41997245897977,274.8448325931711,263.4713306647918,256.6444711735958,272.46753515920506,299.58596269604084,0.30969603011620706,0.3287899154362743,0.3615140544475187,11.0,126.0,126.0
T16D4,cloth,4917.0,2588.0,259.2793312284473,254.94714631467878,244.24089921221145,238.68544263569675,252.98291863614634,281.5040008964697,0.30870922748236707,0.327201192146434,0.364089580371199,245.0,102.0,221.0
T13B4,cloth,515.0,2591.0,262.5087875345848,262.7250094385559,250.74650036485184,244.73261245135913,260.1619256327568,285.6258041685492,0.309584205959798,0.32910212644421,0.3613136675959919,134.0,206.0,192.0
T13D4,cloth,1095.0,2593.0,264.62586565958384,265.2848711931747,253.63012312358137,247.21932678031803,262.7586849265451,287.9985389070676,0.30980775887476586,0.3292812109884548,0.36091103013677944,135.0,207.0,193.0
T13A4,cloth,225.0,2593.0,259.3137657834493,259.21192758748884,247.2225436751741,241.44643811687288,256.6694866346297,282.10269882062096,0.3094599780398007,0.32897123816335455,0.36156878379684476,132.0,206.0,193.0
T16C4,cloth,4632.0,2598.0,260.5373031766584,256.45596942080357,245.87815181849805,240.12724234685965,254.50095018507596,282.91095091836956,0.30882977965752656,0.3273159330033677,0.36385428733910585,131.0,206.0,192.0
T13C4,cloth,810.0,2598.0,263.4167889725572,263.8705544179651,252.06273831621004,245.84896023389558,261.32662779097126,286.6506694679737,0.3097012197736642,0.3291987702905231,0.3611000099358127,135.0,207.0,193.0
T16A4,cloth,4042.0,2599.0,263.5809829585988,259.97656818634306,249.67865281729848,243.50285925392157,258.04665529469816,286.29647800855753,0.309074186521612,0.32753438836076915,0.3633914251176188,133.0,206.0,192.0
T15D4,cloth,3653.0,2599.0,265.6024545995416,262.3110645371296,252.1981644150702,245.74155732708786,260.3979070496219,288.5444560713023,0.3092318228718511,0.32767481554530464,0.3630933615828443,135.0,207.0,192.0
T14B4,cloth,1798.0,2600.0,267.3768309574728,267.38391077715977,256.3033548639663,249.5688620094478,265.02689256989396,290.914665229849,0.3098269815908349,0.3290173361539799,0.3611556822551853,7.0,124.0,127.0
T16B4,cloth,4336.0,2600.0,262.03088142795957,258.19203899791023,247.75357990239667,241.791049177233,256.2491559021287,284.5734893983177,0.3089532560998765,0.32742738558025203,0.36361935831987147,132.0,206.0,192.0
T15A4,cloth,2776.0,2600.0,268.81148051043476,266.0839579449063,255.9592775450978,249.22097763195703,264.12759835226865,292.11642224763466,0.309412548253545,0.3279193992688397,0.3626680524776153,137.0,207.0,192.0
T15B4,cloth,3065.0,2601.0,268.1958176182679,265.33653963096975,255.3670308769066,248.59835410441156,263.42269021505496,291.4308185554578,0.30941287909256066,0.3278636871566539,0.36272343375078553,137.0,207.0,192.0
T14C4,cloth,2085.0,2603.0,268.62879601594216,267.8629938595391,257.09197402491463,250.2913431349543,265.62758839228974,292.17676271271995,0.3097298314036435,0.3287080852993775,0.36156208329697903,7.0,126.0,126.0
T14D4,cloth,2380.0,2603.0,270.0026806938996,268.43599975088637,257.9800547569402,251.11043124507887,266.32540564744534,293.5678387373765,0.30962921475052896,0.32838988730919416,0.3619808979402769,8.0,124.0,126.0
T14A4,cloth,1499.0,2603.0,265.89965560481323,266.7247516482528,255.32785433350114,248.6642731941646,264.24141581086224,289.413472711199,0.3099318638511033,0.3293470085466093,0.3607211276022875,137.0,207.0,193.0
T15C4,cloth,3364.0,2603.0,267.0150457879905,263.9648170736351,253.98652183190376,247.32540359408284,262.0628807414602,290.1185372651017,0.30934745884835285,0.3277806688588345,0.3628718722928126,135.0,207.0,192.0
T16C5,cloth,4633.0,2809.25,255.8200732564165,252.19242414873264,241.46368889768613,235.93076179831388,250.17256370314985,277.83461871178764,0.3088349827174633,0.3274775989308823,0.3636874183516545,251.0,125.0,125.0
T13B5,cloth,542.0,2809.25,256.4525999217016,257.13920725334174,245.39533671423195,239.43537804305362,254.5920740783243,279.10134245269234,0.3096966245772318,0.32930098563795357,0.3610023897848145,131.0,206.0,193.0
T16B5,cloth,4340.0,2809.25,257.3426727186176,253.95079800678008,243.3614187129743,237.6169791130638,251.9435579555731,279.5278258387394,0.30895926992680395,0.32758727099075285,0.3634534590824433,244.0,102.0,221.0
T16A5,cloth,4054.0,2809.25,258.82889608445225,255.66716293306524,245.2138102732898,239.26291137251252,253.67224176510572,281.1805809182896,0.30907899277400885,0.32769291541978285,0.36322809180620824,246.0,102.0,221.0
T13D5,cloth,1107.0,2809.25,258.5698916679443,259.68381457691083,248.25337104441653,241.9061221862139,257.1724975849958,281.47196726609013,0.3099172894154188,0.3294757596187759,0.36060695096580525,132.0,206.0,193.0
T15B5,cloth,3070.0,2809.25,263.9423359165544,261.57241848364083,251.58707354374576,244.9258391462801,259.6198811657354,286.86698301016844,0.30947928699922683,0.3280461383496952,0.3624745746510781,134.0,207.0,193.0
T14B5,cloth,1800.0,2809.25,261.4809897682049,261.9205348487866,251.05175845060194,244.38540395664853,259.5773426785956,284.55909863118785,0.3099285142494355,0.3291948653507343,0.36087662039983026,134.0,207.0,193.0
T15D5,cloth,3656.0,2809.25,260.89713699215207,258.05567076754596,247.7916139131693,241.55340451678023,256.0778926608888,283.4805687562649,0.30924303553879273,0.32783766811007287,0.3629192963511344,132.0,206.0,193.0
T14D5,cloth,2382.0,2809.25,264.19150123454796,263.0510074886648,252.8038363693778,246.00136761797893,260.9540533311397,287.3035265849168,0.3097243894850015,0.32855034764333874,0.3617252628716598,135.0,207.0,193.0
T15C5,cloth,3366.0,2809.25,262.40414669876753,259.7960407976953,249.6699130477549,243.22235680782967,257.830753866359,285.15643929147313,0.3093607255450567,0.3279415187434697,0.3626977557114735,133.0,206.0,192.0
T13C5,cloth,825.0,2809.25,257.5131195043329,258.4137627800144,246.82688311324478,240.6729366138755,255.88456939228544,280.28875275745617,0.3098076793172904,0.3293889447308871,0.3608033759518226,131.0,206.0,193.0
T14C5,cloth,2089.0,2809.25,262.8269310289835,262.4818863830217,251.92177652367104,245.1878326475841,260.2609670404259,285.9218815841564,0.30982678338984315,0.32887365326959533,0.3612995633405615,134.0,207.0,193.0
T05A1,Checker,1425.0,190.0,259.64192835568633,261.30071606453754,249.8222323154055,243.32481000601965,258.73985676519203,282.71378205484217,0.31005541802276554,0.32969796399511186,0.3602466179821226,133.0,206.0,193.0
T06A1,Checker,2725.0,190.0,264.7413185948302,262.21237810423276,251.16315765543186,245.12399302738348,260.0450608497937,287.69434164486745,0.30916295847658176,0.3279821748847068,0.36285486663871147,134.0,207.0,192.0
T07D1,Checker,4925.0,195.0,253.59219461042818,250.4018701108119,241.20676693959575,234.7825405094945,248.67660756453697,275.49906947986915,0.30934843984717836,0.32765520131795156,0.3629963588348702,249.0,126.0,126.0
T04A1,Checker,180.0,200.0,254.52952230394072,254.31852347812432,242.95128357873847,237.07170826404902,251.91627387583188,276.8903778884639,0.309542246702564,0.32892465308264957,0.36153310021478646,252.0,124.0,127.0
T04A5,Checker,185.0,1270.0,279.7054760151876,276.0044530822559,263.8718113139297,257.9975701002992,273.6913179033545,303.80445463422706,0.30879667967877567,0.32758048919843724,0.3636228311227872,14.0,124.0,125.0
T06A5,Checker,2720.0,1295.0,289.9615414703377,283.57564638270765,271.7431893259425,265.80202692145843,281.5201337618343,314.6054457933385,0.30838091844859006,0.3266169126576954,0.36500216889371456,23.0,126.0,122.0
T14A1,Checker,1445.0,1720.0,290.56693402223044,289.69078817154417,277.351555997255,270.4110977189693,287.1298326771169,316.0180603979931,0.3095510441408899,0.32868968862207143,0.3617592672370386,30.0,122.0,126.0
T16D1,Checker,4925.0,1730.0,278.37586316922886,272.1913147988227,262.0922888512484,255.66019553757906,270.4899226611424,302.0520174076796,0.30869299238209197,0.32659891955373,0.36470808806417804,11.0,126.0,124.0
T13A5,Checker,165.0,2810.0,255.0186636112465,255.42168805935592,243.4694361172604,237.76814831799055,252.85070522992635,277.4967171804066,0.3095473615936986,0.3291831527255391,0.3612694856807623,253.0,124.0,127.0
T16D5,Checker,4925.0,2830.0,253.83983160212196,250.0218549374481,239.13946220050832,233.83866609516406,247.98305238310255,275.6491360967488,0.3087097868951815,0.32738296250650495,0.36390725059831347,249.0,125.0,125.0
T15A5,Checker,2735.0,2835.0,265.1088257634523,263.0638790309612,253.2195280831827,246.34294462634423,261.1178727030848,288.1848349726601,0.30961388893860664,0.32818362288234326,0.3622024881790502,135.0,207.0,193.0
T14A5,Checker,1455.0,2840.0,259.0064605487823,260.4469767367838,249.24053079613634,242.6649444898643,257.9597261687218,281.9968889355662,0.31006677686684764,0.3296097877785186,0.3603234353546338,133.0,206.0,193.0
